cidade,temp_media,temp_max,temp_min,precipitacao,umidade,vento,radiacao_solar
Petrolina/PE,27.28,34.15,21.072,0.924,56.47,3.96,21.31
Ribeirao Preto/SP,23.164,29.809,17.546,3.087,66.307,2.091,18.985
