,temp_media,temp_max,temp_min,precipitacao,umidade,vento,radiacao_solar
temp_media,1.0,0.899,0.88,-0.143,-0.457,0.331,0.485
temp_max,0.899,1.0,0.605,-0.365,-0.736,0.421,0.539
temp_min,0.88,0.605,1.0,0.125,-0.056,0.192,0.252
precipitacao,-0.143,-0.365,0.125,1.0,0.51,-0.268,-0.317
umidade,-0.457,-0.736,-0.056,0.51,1.0,-0.381,-0.36
vento,0.331,0.421,0.192,-0.268,-0.381,1.0,0.152
radiacao_solar,0.485,0.539,0.252,-0.317,-0.36,0.152,1.0
